la fecha es 01-03-2021: 8673
la fecha es 02-03-2021: 6957
la fecha es 03-03-2021: 6590
la fecha es 04-03-2021: 6332
la fecha es 05-03-2021: 6014
la fecha es 06-03-2021: 3065
la fecha es 07-03-2021: 2000
la fecha es 08-03-2021: 7092
la fecha es 09-03-2021: 5974
la fecha es 10-03-2021: 5526
la fecha es 11-03-2021: 5372
la fecha es 12-03-2021: 5267
la fecha es 13-03-2021: 2672
la fecha es 14-03-2021: 1562
la fecha es 15-03-2021: 2148
la fecha es 16-03-2021: 6784
la fecha es 17-03-2021: 5314
la fecha es 18-03-2021: 5040
la fecha es 19-03-2021: 4779
la fecha es 20-03-2021: 2441
la fecha es 21-03-2021: 1558
la fecha es 22-03-2021: 5946
la fecha es 23-03-2021: 5223
la fecha es 24-03-2021: 4669
la fecha es 25-03-2021: 4619
la fecha es 26-03-2021: 4203
la fecha es 27-03-2021: 2266
la fecha es 28-03-2021: 1330
la fecha es 29-03-2021: 5315
la fecha es 30-03-2021: 4459
la fecha es 31-03-2021: 4048
